"SYMBOL" "CA81406_BC.11_" "CA81425_.6_XXX" "CA81425_BC.12_" "CA81425_BC.17_" "CA81425_XXXXX" "CA81426_.7_XXX" "CA81426_BC.13_" "CA81426_BC.18_" "CA81426_XXXXX" "CA81426_XXXXX" "CA81428_.8_XXX" "CA81428_BC.1_P" "CA81428_BC.14_" "CA81428_XXXXX" "CA81429_.9_XXX" "CA81429_BC.15_" "CA81429_BC.20_" "CA81429_BC.3_X" "CA81429_XXXXX" "CA81435_BC.16_" "CA81436_BC.21_" "CA81436_XXXXX" "CA81437_XXXXX" "CA81438_BC.23_" "CA81438_XXXXX" "CA81438_XXXXX" "CA81439_BC.22_" "CA81439_XXXXX" "CA81439_XXXX" "CA81440_XXXXX" "CA81637_XXXXX" "CA81637_XXXX" "CA81641_SSo8_f" "CA81647_SSu8_f" "CA81649_ST16_f" "CA81665_SSu16_" "CA81667_XXXXX" "CA81668_SSo16_" "CA81669_SSo16."
"ABCB11" 1501.97953909447 1764.18519029114 1688.93486732404 1383.07450825345 1807.92946929575 1853.21708610796 1354.67306371055 1165.53779011822 1881.06175349763 1049.99727946582 1872.38909241703 533.172550195389 1281.01855917348 1143.89245404256 1871.78903140686 1952.71437572685 1708.29083158978 2046.62630643284 1869.82413949161 529.978325694964 2269.37111257204 3124.18068566282 667.430191612264 2262.39184397088 5269.59705975211 2003.99144423759 282.029571317162 837.8292428624 2125.00721635057 1548.11430120164 603.368233758357 627.583819484482 1238.19783433183 1897.85875040164 1333.64915160774 1425.62588780747 1670.78248619974 2088.31927505407 1721.15267959505
"ABCB8" 1706.95553417395 2280.929643976 2087.57113816027 1622.34559657317 2836.06587326284 1917.19527969498 1364.39514782041 1424.6701786797 2545.88771763955 944.176940823985 2086.11574162007 1817.40463929431 1852.75141309725 1311.32236880238 1974.11865228377 2096.48410230812 1832.45405870163 2267.10121989339 1817.40463929431 1604.10265973871 2259.20353553478 2120.14174731508 949.593808144222 2453.84580421118 3265.58028748254 1622.34559657317 832.271194392933 1416.63323181564 1803.78242334757 1833.98120306597 750.364861978439 840.174683038221 1640.866059236 2917.33993751923 1462.90098763144 2810.74157164381 2133.76152760571 3260.22581991531 3217.9333511573
"ABCC4" 1733.30400652146 987.159204739732 813.756955307785 783.420720691452 660.561672021831 951.635812581246 716.858868786521 627.583819484482 1005.09456181429 759.21175503752 1072.15272237449 307.523595942532 851.561121415248 582.965800189863 1191.69682650406 1217.87256125265 1156.49585452582 1063.7085076295 1212.7513024083 714.968454045099 1646.62534061745 1293.64210846947 461.52988975269 2062.20756226191 2637.12074895034 1340.35445838568 660.561672021831 817.552081081747 1051.91691501724 824.374385689675 578.433733540863 575.528243007313 669.736289942427 761.834337030084 1205.50957884683 1010.67306401295 990.265471376882 910.119788804231 578.433733540863
"ABCC8" 1449.40732176746 1627.37134937772 2066.15430987094 2125.93045677296 1579.2814530507 2074.05935626277 1964.37507524318 2108.33851429867 1981.43992354972 2731.90798640673 1449.75658656703 1274.69919343232 1637.24048165668 1979.81983861854 1583.11166562546 1371.8648470631 1352.12955490577 1648.90847325026 1851.75694520965 1410.49729203194 1848.55041362844 1151.24609721535 2605.36674863737 1275.03584076157 1161.5384735178 2175.31479521148 2891.59191070424 2496.08011607937 2832.9318653026 1801.14234910726 1925.09181366826 2401.68177987039 2739.82273485899 2006.95486401743 1164.31829241497 1905.1083518997 1823.78905010373 1814.804221765 1781.9233943744
"ABCG4" 1946.33713669989 1604.84552051784 868.42448791286 1121.64409657037 1797.28043973909 1293.31067908007 467.553856809573 900.018951672969 1772.88304727302 720.441101970999 1363.35396229992 398.199343943472 674.138747420431 109.570098277259 1577.43795070002 1309.86594689875 1184.75056871911 1770.24171729599 1234.51446589938 877.324811738134 2097.21295847402 1118.75140909157 627.583819484482 2034.46240644072 2304.80207016339 1860.75583532628 893.231776543263 986.638087816029 1270.91600013799 1479.1952193712 693.049710623702 693.049710623702 882.781185770157 1287.70973581372 1263.46081216329 1516.47564006718 1447.6296492842 1574.63976533307 594.205739924341
"ABHD12" 1151.96971706518 1424.6701786797 1590.02149889929 1396.90082162754 1657.74291609071 1418.82333649969 1079.16627845108 1167.4545282604 1444.16727661419 1336.18960626335 1464.42920642266 1386.74506165913 1608.15728365878 1860.11637021631 1296.54547875242 1439.47437957603 1428.61436442724 1433.74658376542 1482.75903177724 1257.16797216207 1368.98555991122 1512.39594074111 1481.82280489915 1263.46081216329 1274.69919343232 1556.19622458404 2486.98981342579 1990.16246345476 1527.53295800739 1361.28333047071 1523.5741083655 1626.92363202982 1460.33584754491 1530.95056127347 1803.24721376961 1346.32791325157 1392.85345856871 1482.14082306629 1468.00887036659
"ABHD5" 1501.27881899639 1772.16397812685 1819.81742974931 1390.87275221912 1782.47436465918 1729.76977417269 1237.75231962986 1298.16502170699 1258.747850673 1235.88407751643 1623.69880519824 1638.35645237098 1386.05557587774 1566.59102609237 1458.60633718819 1485.93388143402 1375.37352112054 1931.18277476811 1528.80507375794 1474.88316635749 969.520786335359 1387.09733418691 1325.59861283309 1410.49729203194 1090.84909817869 1454.68854772949 2481.47635853466 2059.66771816588 1590.02149889929 1718.01895348368 1378.35668692106 1389.97167988819 1834.5657447133 1815.19322410129 1913.29213746393 1661.38023447682 1750.80065143551 1815.19322410129 1681.30316059209
"ABHD6" 1100.70417014447 1356.85201292108 1692.39797783874 1644.77695385253 1426.8996778255 1389.05820145105 1251.69649100568 1187.04600260322 1277.47818866524 1313.1886194462 1288.45941874331 1240.06037255718 1354.67306371055 1638.35645237098 1311.32236880238 1259.44306268878 1214.12458345845 1312.71270360767 1251.38815978095 1267.28608336851 1362.01244449717 1643.08855343031 1473.45375404411 1320.5865697734 1157.13778400058 1392.25664851833 2219.99731947579 1845.13331224709 1649.83183847204 1146.04927682306 1504.38273193085 1500.91540717972 1146.04927682306 1365.78747641834 1506.43194615385 1179.10170309456 1273.10051138257 1364.09213569055 1319.27129189378
"ABI1" 1831.84550292455 1300.31943766365 860.93746900639 1107.65830965414 566.535271289286 771.551034935246 946.099329768683 690.900431779194 1344.14856113351 821.041255005389 1386.36780930968 157.630912387268 1206.25589887788 988.389549286665 1418.21298022418 1348.55277788253 1557.08178693216 1464.42920642266 1551.41154271018 966.206221961828 1409.40445160266 1407.46770861269 678.456633769689 2049.43655232295 2518.10888381119 1782.47436465918 754.343180586792 964.794574645091 1447.27597116968 1507.41631703997 686.515743004758 701.01091403285 962.420280307401 1012.72463940316 2207.50051907141 1559.64072641128 1220.0095558125 1242.74463182672 566.535271289286
"ABL1" 1903.7668780221 1328.84905438797 411.295316177795 733.267562568163 1303.47524472785 1260.16743918249 809.05406234693 582.965800189863 1548.11430120164 742.867107949408 1484.13543009315 136.374880209205 1096.91710877288 880.279350186815 1653.32834164305 1634.05931272686 1488.86362219616 1757.25158826925 1487.16186962001 751.534211709942 1893.39103963633 1650.69457427248 651.486201144685 2099.90556643949 2360.22088590454 1590.02149889929 424.614104070444 705.832072067148 1241.78780194956 1350.25659054003 688.598706748201 671.514793081865 1142.68133354808 1317.71522475742 1051.91691501724 1389.34746813827 1186.62012939116 1316.16802648286 398.199343943472
